Contrast,Model,PR-AUC diff.,95% CI,p-value,ROC-AUC diff.,interpretation
All future minus baseline,LR,0.0027,"[-0.0043, +0.0080]",0.3586,0.0035,Total training-side effect
All future minus baseline,RF,0.0066,"[-0.0072, +0.0158]",0.2078,0.0037,Total training-side effect
All future minus baseline,XGB,0.0097,"[-0.0107, +0.0315]",0.3477,0.0027,Total training-side effect
Unevaluated-firm future minus baseline,LR,0.0027,"[-0.0026, +0.0069]",0.1908,0.0029,"Future information, evaluated firms excluded"
Unevaluated-firm future minus baseline,RF,0.0069,"[-0.0009, +0.0144]",0.0739,0.0023,"Future information, evaluated firms excluded"
Unevaluated-firm future minus baseline,XGB,0.0045,"[-0.0114, +0.0226]",0.5894,0.0005,"Future information, evaluated firms excluded"
Future minus recent past (matched),LR,-0.0004,"[-0.0019, +0.0008]",0.5385,0.0005,Future vs recent past at equal added rows
Future minus recent past (matched),RF,0.0012,"[-0.0060, +0.0064]",0.6673,0.0008,Future vs recent past at equal added rows
Future minus recent past (matched),XGB,0.0077,"[-0.0070, +0.0231]",0.3277,0.0053,Future vs recent past at equal added rows
Own-firm future (matched),LR,-0.002,"[-0.0047, +0.0011]",0.1508,-0.0017,"Own-firm future rows, at equal added rows"
Own-firm future (matched),RF,-0.006,"[-0.0157, +0.0010]",0.1169,0.0002,"Own-firm future rows, at equal added rows"
Own-firm future (matched),XGB,0.005,"[-0.0148, +0.0221]",0.5654,0.0039,"Own-firm future rows, at equal added rows"
